name,board_functions_policy,board_structure_policy,board_independence_policy,esg_reporting_scope,csr_sustainability_committee,board_gender_diversity,executive_members_gender_diversity,succession_plan,tax_transparency_policy,sdg_goal_7,sdg_goal_8,sdg_goal_11,sdg_goals_12,sdg_goal_13
Huatai Securities Co Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,7.69%,23.08%,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Storebrand ASA,FALSE,TRUE,TRUE,100.00%,FALSE,40.00%,50.00%,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Raiffeisen Bank International AG,FALSE,TRUE,FALSE,100.00%,TRUE,22.22%,16.67%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
AMMB Holdings Bhd,FALSE,TRUE,TRUE,96.00%,TRUE,33.33%,28.57%,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Abu Dhabi Commercial Bank PJSC,TRUE,TRUE,TRUE,100.00%,TRUE,18.18%,15.38%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Mirae Asset Securities Co Ltd,TRUE,TRUE,TRUE,100.00%,TRUE,14.29%,8.82%,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Sinopac Financial Holdings Co Ltd,FALSE,TRUE,TRUE,90.58%,TRUE,42.86%,29.41%,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Banco BPM SpA,FALSE,TRUE,TRUE,100.00%,TRUE,40.00%,8.70%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Westpac Banking Corp,TRUE,TRUE,TRUE,82.00%,TRUE,40.00%,41.67%,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Amalgamated Bank,TRUE,TRUE,TRUE,100.00%,TRUE,53.85%,45.45%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Bank Handlowy w Warszawie SA,FALSE,TRUE,TRUE,100.00%,FALSE,57.14%,57.14%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Capital One Financial Corp,TRUE,TRUE,TRUE,100.00%,TRUE,25.00%,25.00%,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bank Hapoalim BM,FALSE,TRUE,TRUE,100.00%,TRUE,40.00%,26.67%,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
